比赛,年,月,组别,城市,主办方,队伍数,冠军,亚军,季军,高水平,备注,Tournment,Year,Month,Division,City,Holder,NTeams,1st,2nd,3rd,High_Level,Note
广州公开赛,2017,9,混合,佛山,GUPA,16,香港DoubleT,香港Junk,广工UFO,是,,GZ Open,2017,9,Mixed,FoShan,GUPA,16,HK DoubleT,HK Junk,广工UFO,Yes,
北京碗,2017,9,混合,北京,BUC,10,北京大哥,上海沪蛙,U24,是,,BJ Bowl,2017,9,Mixed,BeiJing,BUC,10,BJ Big Brother,SH Huwa,U24,Yes,
上海公开赛,2017,6,混合,上海,SUPA,24,上海沪蛙,北京大哥,香港DoubleT,是,,SH Open,2017,6,Mixed,ShangHai,SUPA,24,SH Huwa,BJ Big Brother,HK DoubleT,Yes,
中国公开赛,2017,5,混合,南京,南京飞盘,23,上海沪蛙,香港DoubleT,南京枪花,是,,China Open,2017,5,Mixed,NanJing,南京飞盘,23,SH Huwa,HK DoubleT,NJ Gun'N Roses,Yes,
上海青少年赛,2017,5,高中 混合,上海,Jack,18,香港汉基,上海南模,上海协和教科,是,,SH Youth,2017,5,High School Mixed,ShangHai,Jack,18,HK CIS,SH 南模,SH SUIS,Yes,
北京交流赛,2017,5,混合,北京,BUC,6,北京帮,,,,,BJ 交流赛,2017,5,Mixed,BeiJing,BUC,6,BJ Bang,,,,
河南邀请赛,2017,4,混合,郑州,升达,5,西安肉夹馍,湖北工业大学,,,,河南Invite,2017,4,Mixed,ZhengZhou,升达,5,Xi'an RJM,Hubei Technology,,,
CUUA总决赛,2017,4,大学 混合,武汉,CUUA,12,中国地质大学,广东工业大学,南京体育学院,是,,CUUA Champ,2017,4,College Mixed,WuHan,CUUA,12,China Geosciences,Guangdong Technology,Nanjing Sport Institute,Yes,
宁波公开赛,2017,4,混合,宁波,宁波UFO,8,上海沪蛙,上海沪蛙,宁诺UFO,,冠军原名Puxi Patrol，亚军原名Pudong De Dong,NB Open,2017,4,Mixed,NingBo,宁波UFO,8,SH Huwa,SH Huwa,宁诺UFO,,冠军原名Puxi Patrol，亚军原名Pudong De Dong
深圳邀请赛,2017,3,混合,深圳,深圳飞盘,12,北京大哥,台湾清华,,是,,SZ Invite,2017,3,Mixed,ShenZhen,深圳飞盘,12,BJ Big Brother,台湾清华,,Yes,
SCSC邀请赛,2017,3,公开,上海,SUPA,12,上海出差,,,是,冠军原名Puxi Patrol,SCSC Invite,2017,3,Open,ShangHai,SUPA,12,SH Chuchai,,,Yes,冠军原名Puxi Patrol
SCSC邀请赛,2017,3,女子,上海,SUPA,8,南山南,,,是,,SCSC Invite,2017,3,Women's,ShangHai,SUPA,8,南山南,,,Yes,
福建公开赛,2016,12,混合,福州,福州火焰,16,上海沪蛙,香港DoubleT,,是,冠军原名Puxi Patrol,FJ Open,2016,12,Mixed,FuZhou,福州火焰,16,SH Huwa,HK DoubleT,,Yes,冠军原名Puxi Patrol
CUUA华东,2016,11,大学 混合,宁波,CUUA,9,西交利物浦大学,宁波诺丁汉大学,南京体育学院,,,CUUA East,2016,11,College Mixed,NingBo,CUUA,9,Xi‘an Jiaotong-liverpool,Nottingham Ningbo,Nanjing Sport Institute,,
CUUA华北,2016,11,大学 混合,北京,CUUA,6,天津体育学院,北京体育大学,清华大学,,,CUUA North,2016,11,College Mixed,BeiJing,CUUA,6,Tianjin Sport,Beijing Sport,Tsinghua,,
CUUA华南,2016,11,大学 混合,广州,CUUA,11,广东工业大学,华南农业大学,华南理工大学,,,CUUA South,2016,11,College Mixed,GuangZhou,CUUA,11,Guangdong Technology,South China Agricultural,South China Technology,,
CUUA华中,2016,11,大学 混合,武汉,CUUA,6,中国地质大学,中南大学,湖北工业大学,,,CUUA Central,2016,11,College Mixed,WuHan,CUUA,6,China Geosciences,Central South,Hubei Technology,,
CUUA东北,2016,11,大学 混合,大连,CUUA,6,大连理工大学,大连海事大学,,,,CUUA North East,2016,11,College Mixed,DaLian,CUUA,6,Dalian Technology,Dalian Maritime,,,
武汉公开赛,2016,10,混合,武汉,地大飞盘,,长沙湘北,西浦Sipo,,,,WH Open,2016,10,Mixed,WuHan,地大飞盘,,CS Xiangbei,西浦Sipo,,,
广州公开赛,2016,9,混合,佛山,GUPA,16,长沙湘北,香港Junk,东莞POD,是,,GZ Open,2016,9,Mixed,FoShan,GUPA,16,CS Xiangbei,HK Junk,东莞POD,Yes,
北京碗,2016,9,混合,北京,BUC,11,韩国LGW,上海沪蛙,北京大哥,是,,BJ Bowl,2016,9,Mixed,BeiJing,BUC,11,KOR LGW,SH Huwa,BJ Big Brother,Yes,
天津公开赛,2016,9,混合,天津,天津速必得,6,北京大哥,,,,,TJ Open,2016,9,Mixed,TianJin,天津速必得,6,BJ Big Brother,,,,
亚洲女子邀请赛,2016,8,女子,上海,贝特曼体育,9,台湾COIN,香港BFF,上海塞壬,是,,Aisa Women's Invite,2016,8,Women's,ShangHai,贝特曼体育,9,TWN COIN,HK BFF,SH Sirens,Yes,
上海公开赛,2016,6,混合,上海,SUPA,26,上海沪蛙,熊猫,零元素,是,,SH Open,2016,6,Mixed,ShangHai,SUPA,26,SH Huwa,Chairman Panda,零元素,Yes,
中国公开赛,2016,5,混合,杭州,HUPA,23,上海沪蛙,大风车,香港,是,,China Open,2016,5,Mixed,HangZhou,HUPA,23,SH Huwa,大风车,HK ,Yes,
上海青少年赛,2016,5,高中 混合,上海,Jack,,香港汉基,上海南模,,是,,SH Youth,2016,5,High School Mixed,ShangHai,Jack,,HK CIS,SH 南模,,Yes,
长沙公开赛,2016,5,混合,长沙,长沙飞盘,8,广州Storm,广州Future,,,,CS Open,2016,5,Mixed,ChangSha,长沙飞盘,8,GZ Storm,GZ Future,,,
南京公开赛,2016,4,混合,南京,南京飞盘,14,上海沪蛙,上海沪蛙,,,冠军原名Huwa Rogue，亚军原名Huwa Beast,NJ Open,2016,4,Mixed,NanJing,南京飞盘,14,SH Huwa,SH Huwa,,,冠军原名Huwa Rogue，亚军原名Huwa Beast
宁波公开赛,2016,4,混合,宁波,宁波UFO,12,I trust U,,,,,NB Open,2016,4,Mixed,NingBo,宁波UFO,12,I trust U,,,,
SCSC邀请赛,2016,3,混合,上海,贝特曼体育,16,上海沪蛙,上海沪蛙,,是,冠军原名Huwa Blue，亚军原名Huwa Gold,SCSC Invite,2016,3,Mixed,ShangHai,贝特曼体育,16,SH Huwa,SH Huwa,,Yes,冠军原名Huwa Blue，亚军原名Huwa Gold
福建公开赛,2015,12,混合,厦门,厦门白鹭,16,宁波红钳,地大CUG,,是,又名厦门公开赛,FJ Open,2015,12,Mixed,XiaMen,厦门白鹭,16,NB 红钳,地大CUG,,Yes,又名厦门公开赛
CUUA总决赛,2015,11,大学 混合,南京,CUUA,8,南京体育学院,西交利物浦大学,中国地质大学,是,,CUUA Champ,2015,11,College Mixed,NanJing,CUUA,8,Nanjing Sport Institute,Xi‘an Jiaotong-liverpool,China Geosciences,Yes,
CUUA华东,2015,11,大学 混合,上海,CUUA,,宁波诺丁汉大学,西交利物浦大学,南京体育学院,,,CUUA East,2015,11,College Mixed,ShangHai,CUUA,,Nottingham Ningbo,Xi‘an Jiaotong-liverpool,Nanjing Sport Institute,,
CUUA华南,2015,11,大学 混合,广州,CUUA,,华南理工大学,,,,,CUUA South,2015,11,College Mixed,GuangZhou,CUUA,,South China Technology,,,,
CUUA华中,2015,11,大学 混合,武汉,CUUA,,中国地质大学,,,,,CUUA Central,2015,11,College Mixed,WuHan,CUUA,,China Geosciences,,,,
CUUA华北,2015,10,大学 混合,北京,CUUA,3,天津体育学院,清华大学,,,,CUUA North,2015,10,College Mixed,BeiJing,CUUA,3,Tianjin Sport,Tsinghua,,,
CUUA华西,2015,10,大学 混合,西安,CUUA,3,西安欧亚学院,西安交通大学,,,,CUUA West,2015,10,College Mixed,Xi'An,CUUA,3,Xi'an Euraisa,Xi'an Jiaotong,,,
上海公开赛,2015,6,混合,上海,SUPA,24,熊猫,香港,台湾,是,,SH Open,2015,6,Mixed,ShangHai,SUPA,24,Chairman Panda,HK,TW,Yes,
中国公开赛,2015,5,混合,北京,北京飞盘,17,十年,香港,,是,,China Open,2015,5,Mixed,BeiJing,北京飞盘,17,十年,HK ,,Yes,
上海青少年赛,2015,5,高中 混合,上海,Jack,,香港汉基,上海南模,,是,,SH Youth,2015,5,High School Mixed,ShangHai,Jack,,HK CIS,SH 南模,,Yes,
南京公开赛,2015,4,混合,南京,南京飞盘,14,上海沪蛙,,,,,NJ Open,2015,4,Mixed,NanJing,南京飞盘,14,SH Huwa,,,,
宁波公开赛,2015,4,混合,宁波,宁波UFO,,香港Convicts,,,,,NB Open,2015,4,Mixed,NingBo,宁波UFO,,HK Convicts,,,,
SCSC邀请赛,2015,3,混合,上海,,,上海沪蛙,北京大哥,,是,,SCSC Invite,2015,3,Mixed,ShangHai,,,SH Huwa,BJ Big Brother,,Yes,
天津公开赛,2015,,混合,天津,天津速必得,,北京大哥,,,,,TJ Open,2015,,Mixed,TianJin,天津速必得,,BJ Big Brother,,,,
武汉公开赛,2015,,混合,武汉,地大飞盘,,长沙湘北,,,,,WH Open,2015,,Mixed,WuHan,地大飞盘,,CS Xiangbei,,,,
上海公开赛,2014,6,混合,上海,SUPA,,上海沪蛙,熊猫,,是,,SH Open,2014,6,Mixed,ShangHai,SUPA,,SH Huwa,Chairman Panda,,Yes,
中国公开赛,2014,5,混合,常州,常州飞盘,18,地大CUG,毕业生,天体速必得,是,,China Open,2014,5,Mixed,ChangZhou,常州飞盘,18,地大CUG,毕业生,天体Speed,Yes,
南京公开赛,2014,4,混合,南京,南京飞盘,6,西瓜,,,,,NJ Open,2014,4,Mixed,NanJing,南京飞盘,6,西瓜,,,,
天津公开赛,2014,,混合,天津,天津速必得,,北京大哥,,,,,TJ Open,2014,,Mixed,TianJin,天津速必得,,BJ Big Brother,,,,
武汉公开赛,2014,,混合,武汉,地大飞盘,,地大CUG,,,,,WH Open,2014,,Mixed,WuHan,地大飞盘,,地大CUG,,,,
上海公开赛,2013,6,混合,上海,SUPA,,上海沪蛙,,,是,,SH Open,2013,6,Mixed,ShangHai,SUPA,,SH Huwa,,,Yes,
中国公开赛,2013,,混合,深圳,深圳飞盘,,毕业生,,,是,,China Open,2013,,Mixed,ShenZhen,深圳飞盘,,毕业生,,,Yes,
